Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Bronx,2000,005,2,000100,12780
Bronx,2000,005,2,000200,3545
Bronx,2000,005,2,000400,3314
Bronx,2000,005,2,001600,5237
Bronx,2000,005,2,001900,1584
Bronx,2000,005,2,002000,9068
Bronx,2000,005,2,002300,4338
Bronx,2000,005,2,002400,0
Bronx,2000,005,2,002500,5109
Bronx,2000,005,2,002701,3033
Bronx,2000,005,2,002702,4736
Bronx,2000,005,2,002800,5718
Bronx,2000,005,2,003100,1478
Bronx,2000,005,2,003300,3116
Bronx,2000,005,2,003500,3473
Bronx,2000,005,2,003700,478
Bronx,2000,005,2,003800,1263
Bronx,2000,005,2,003900,6022
Bronx,2000,005,2,004001,1420
Bronx,2000,005,2,004100,5240
Bronx,2000,005,2,004200,7539
Bronx,2000,005,2,004300,4789
Bronx,2000,005,2,004400,4671
Bronx,2000,005,2,004600,1419
Bronx,2000,005,2,004800,3678
Bronx,2000,005,2,005001,4871
Bronx,2000,005,2,005002,5869
Bronx,2000,005,2,005100,5634
Bronx,2000,005,2,005200,2186
Bronx,2000,005,2,005300,4159
Bronx,2000,005,2,005400,5550
Bronx,2000,005,2,005600,2710
Bronx,2000,005,2,005902,2682
Bronx,2000,005,2,006000,1081
Bronx,2000,005,2,006100,4039
Bronx,2000,005,2,006200,6399
Bronx,2000,005,2,006300,5885
Bronx,2000,005,2,006400,3967
Bronx,2000,005,2,006500,4655
Bronx,2000,005,2,006700,6491
Bronx,2000,005,2,006800,3209
Bronx,2000,005,2,006900,4323
Bronx,2000,005,2,007000,4160
Bronx,2000,005,2,007100,1885
Bronx,2000,005,2,007200,5073
Bronx,2000,005,2,007300,3248
Bronx,2000,005,2,007400,3503
Bronx,2000,005,2,007500,4688
Bronx,2000,005,2,007600,4929
Bronx,2000,005,2,007700,1307
Bronx,2000,005,2,007800,6171
Bronx,2000,005,2,007900,6598
Bronx,2000,005,2,008300,6204
Bronx,2000,005,2,008400,2079
Bronx,2000,005,2,008500,5428
Bronx,2000,005,2,008600,4381
Bronx,2000,005,2,008700,5203
Bronx,2000,005,2,008900,2886
Bronx,2000,005,2,009000,3687
Bronx,2000,005,2,009200,4877
Bronx,2000,005,2,009300,5531
Bronx,2000,005,2,009600,2099
Bronx,2000,005,2,009800,5538
Bronx,2000,005,2,011000,21
Bronx,2000,005,2,011502,4139
Bronx,2000,005,2,011700,1695
Bronx,2000,005,2,011800,5080
Bronx,2000,005,2,011900,4793
Bronx,2000,005,2,012101,2878
Bronx,2000,005,2,012102,1619
Bronx,2000,005,2,012300,2920
Bronx,2000,005,2,012500,2271
Bronx,2000,005,2,012701,2309
Bronx,2000,005,2,012901,2728
Bronx,2000,005,2,013000,1179
Bronx,2000,005,2,013100,3519
Bronx,2000,005,2,013200,5614
Bronx,2000,005,2,013300,6047
Bronx,2000,005,2,013500,3126
Bronx,2000,005,2,013800,1940
Bronx,2000,005,2,014100,2314
Bronx,2000,005,2,014300,712
Bronx,2000,005,2,014400,5773
Bronx,2000,005,2,014500,4878
Bronx,2000,005,2,014701,5652
Bronx,2000,005,2,014702,5273
Bronx,2000,005,2,014900,3668
Bronx,2000,005,2,015100,4743
Bronx,2000,005,2,015200,2382
Bronx,2000,005,2,015300,2962
Bronx,2000,005,2,015500,2779
Bronx,2000,005,2,015700,3575
Bronx,2000,005,2,015800,1211
Bronx,2000,005,2,015900,2170
Bronx,2000,005,2,016000,5196
Bronx,2000,005,2,016100,4755
Bronx,2000,005,2,016200,1719
Bronx,2000,005,2,016300,301
Bronx,2000,005,2,016400,1212
Bronx,2000,005,2,016500,1243
Bronx,2000,005,2,016600,2226
Bronx,2000,005,2,016700,1822
Bronx,2000,005,2,016900,1796
Bronx,2000,005,2,017100,3
Bronx,2000,005,2,017300,4842
Bronx,2000,005,2,017500,6466
Bronx,2000,005,2,017701,3954
Bronx,2000,005,2,017702,4165
Bronx,2000,005,2,017901,4817
Bronx,2000,005,2,017902,3408
Bronx,2000,005,2,018101,2983
Bronx,2000,005,2,018102,5590
Bronx,2000,005,2,018301,4637
Bronx,2000,005,2,018302,3740
Bronx,2000,005,2,018400,3695
Bronx,2000,005,2,018500,4750
Bronx,2000,005,2,018900,7264
Bronx,2000,005,2,019300,5248
Bronx,2000,005,2,019400,1666
Bronx,2000,005,2,019500,7327
Bronx,2000,005,2,019700,7754
Bronx,2000,005,2,019900,7880
Bronx,2000,005,2,020000,4100
Bronx,2000,005,2,020100,3632
Bronx,2000,005,2,020200,1824
Bronx,2000,005,2,020400,2884
Bronx,2000,005,2,020501,8556
Bronx,2000,005,2,020502,761
Bronx,2000,005,2,020601,2375
Bronx,2000,005,2,020900,4589
Bronx,2000,005,2,021001,7051
Bronx,2000,005,2,021002,8753
Bronx,2000,005,2,021100,4532
Bronx,2000,005,2,021200,5232
Bronx,2000,005,2,021301,1464
Bronx,2000,005,2,021302,3981
Bronx,2000,005,2,021501,3690
Bronx,2000,005,2,021502,6726
Bronx,2000,005,2,021601,4339
Bronx,2000,005,2,021602,5293
Bronx,2000,005,2,021700,4797
Bronx,2000,005,2,021800,6648
Bronx,2000,005,2,021900,1307
Bronx,2000,005,2,022000,1445
Bronx,2000,005,2,022101,3300
Bronx,2000,005,2,022102,5142
Bronx,2000,005,2,022200,3024
Bronx,2000,005,2,022300,5560
Bronx,2000,005,2,022401,2607
Bronx,2000,005,2,022403,3187
Bronx,2000,005,2,022404,3940
Bronx,2000,005,2,022500,6926
Bronx,2000,005,2,022701,3036
Bronx,2000,005,2,022702,1964
Bronx,2000,005,2,022703,1585
Bronx,2000,005,2,022800,5777
Bronx,2000,005,2,022901,6093
Bronx,2000,005,2,022902,3112
Bronx,2000,005,2,023000,2754
Bronx,2000,005,2,023100,1611
Bronx,2000,005,2,023200,2333
Bronx,2000,005,2,023301,4916
Bronx,2000,005,2,023302,3545
Bronx,2000,005,2,023501,4405
Bronx,2000,005,2,023502,5178
Bronx,2000,005,2,023600,1873
Bronx,2000,005,2,023702,1212
Bronx,2000,005,2,023703,4860
Bronx,2000,005,2,023704,3774
Bronx,2000,005,2,023800,2335
Bronx,2000,005,2,023900,8094
Bronx,2000,005,2,024000,3502
Bronx,2000,005,2,024100,5955
Bronx,2000,005,2,024300,5415
Bronx,2000,005,2,024400,2083
Bronx,2000,005,2,024501,4895
Bronx,2000,005,2,024502,3645
Bronx,2000,005,2,024600,2086
Bronx,2000,005,2,024700,1807
Bronx,2000,005,2,024800,3245
Bronx,2000,005,2,024900,144
Bronx,2000,005,2,025000,2297
Bronx,2000,005,2,025100,6639
Bronx,2000,005,2,025200,2417
Bronx,2000,005,2,025300,6402
Bronx,2000,005,2,025400,1886
Bronx,2000,005,2,025500,6567
Bronx,2000,005,2,025600,1727
Bronx,2000,005,2,025700,1637
Bronx,2000,005,2,026100,1517
Bronx,2000,005,2,026300,7978
Bronx,2000,005,2,026400,4798
Bronx,2000,005,2,026500,6724
Bronx,2000,005,2,026601,3003
Bronx,2000,005,2,026602,5266
Bronx,2000,005,2,026701,3620
Bronx,2000,005,2,026702,7333
Bronx,2000,005,2,026900,4098
Bronx,2000,005,2,027300,7943
Bronx,2000,005,2,027401,5372
Bronx,2000,005,2,027402,3117
Bronx,2000,005,2,027600,7
Bronx,2000,005,2,027700,5339
Bronx,2000,005,2,027900,7182
Bronx,2000,005,2,028100,3824
Bronx,2000,005,2,028300,2249
Bronx,2000,005,2,028400,857
Bronx,2000,005,2,028500,3238
Bronx,2000,005,2,028600,1268
Bronx,2000,005,2,028700,3159
Bronx,2000,005,2,028800,3066
Bronx,2000,005,2,028900,4627
Bronx,2000,005,2,029301,1863
Bronx,2000,005,2,029302,5506
Bronx,2000,005,2,029500,4081
Bronx,2000,005,2,029600,3801
Bronx,2000,005,2,029700,3639
Bronx,2000,005,2,030000,5862
Bronx,2000,005,2,030100,1510
Bronx,2000,005,2,030200,8864
Bronx,2000,005,2,030701,5580
Bronx,2000,005,2,030900,3745
Bronx,2000,005,2,031000,4284
Bronx,2000,005,2,031200,1569
Bronx,2000,005,2,031400,2024
Bronx,2000,005,2,031600,1779
Bronx,2000,005,2,031800,1795
Bronx,2000,005,2,031900,7
Bronx,2000,005,2,032300,5171
Bronx,2000,005,2,032400,2826
Bronx,2000,005,2,032600,3203
Bronx,2000,005,2,032800,3937
Bronx,2000,005,2,033000,5111
Bronx,2000,005,2,033201,3591
Bronx,2000,005,2,033202,4498
Bronx,2000,005,2,033400,224
Bronx,2000,005,2,033500,2082
Bronx,2000,005,2,033600,6138
Bronx,2000,005,2,033700,3026
Bronx,2000,005,2,033800,3848
Bronx,2000,005,2,034000,4360
Bronx,2000,005,2,034200,1533
Bronx,2000,005,2,034300,1537
Bronx,2000,005,2,034400,1537
Bronx,2000,005,2,034500,3499
Bronx,2000,005,2,034800,5991
Bronx,2000,005,2,035000,1896
Bronx,2000,005,2,035100,3366
Bronx,2000,005,2,035600,2020
Bronx,2000,005,2,035800,6917
Bronx,2000,005,2,035900,1346
Bronx,2000,005,2,036000,2899
Bronx,2000,005,2,036100,6283
Bronx,2000,005,2,036300,6571
Bronx,2000,005,2,036400,2699
Bronx,2000,005,2,036501,3421
Bronx,2000,005,2,036502,1793
Bronx,2000,005,2,036700,2223
Bronx,2000,005,2,036800,1569
Bronx,2000,005,2,036901,1687
Bronx,2000,005,2,036902,2143
Bronx,2000,005,2,037000,2210
Bronx,2000,005,2,037100,4305
Bronx,2000,005,2,037200,2182
Bronx,2000,005,2,037300,4891
Bronx,2000,005,2,037400,3519
Bronx,2000,005,2,037504,3172
Bronx,2000,005,2,037600,2116
Bronx,2000,005,2,037800,2795
Bronx,2000,005,2,037900,5057
Bronx,2000,005,2,038000,3910
Bronx,2000,005,2,038100,6192
Bronx,2000,005,2,038200,2566
Bronx,2000,005,2,038301,4862
Bronx,2000,005,2,038302,5290
Bronx,2000,005,2,038500,4071
Bronx,2000,005,2,038600,7123
Bronx,2000,005,2,038700,3392
Bronx,2000,005,2,038800,2374
Bronx,2000,005,2,038900,4558
Bronx,2000,005,2,039000,2580
Bronx,2000,005,2,039100,6372
Bronx,2000,005,2,039200,1607
Bronx,2000,005,2,039300,7731
Bronx,2000,005,2,039400,4453
Bronx,2000,005,2,039500,3414
Bronx,2000,005,2,039600,3400
Bronx,2000,005,2,039700,3914
Bronx,2000,005,2,039800,2771
Bronx,2000,005,2,039901,5550
Bronx,2000,005,2,039902,4960
Bronx,2000,005,2,040100,5302
Bronx,2000,005,2,040302,4558
Bronx,2000,005,2,040303,4697
Bronx,2000,005,2,040304,3861
Bronx,2000,005,2,040400,2904
Bronx,2000,005,2,040501,4195
Bronx,2000,005,2,040502,6983
Bronx,2000,005,2,040600,3398
Bronx,2000,005,2,040701,3309
Bronx,2000,005,2,040702,6718
Bronx,2000,005,2,040800,4014
Bronx,2000,005,2,040900,3499
Bronx,2000,005,2,041100,2701
Bronx,2000,005,2,041300,7515
Bronx,2000,005,2,041400,5040
Bronx,2000,005,2,041500,5635
Bronx,2000,005,2,041800,3587
Bronx,2000,005,2,041900,6736
Bronx,2000,005,2,042000,3788
Bronx,2000,005,2,042100,6831
Bronx,2000,005,2,042200,2694
Bronx,2000,005,2,042300,3929
Bronx,2000,005,2,042400,2570
Bronx,2000,005,2,042500,6530
Bronx,2000,005,2,042600,6470
Bronx,2000,005,2,042800,2239
Bronx,2000,005,2,042901,3269
Bronx,2000,005,2,042902,3637
Bronx,2000,005,2,043000,2961
Bronx,2000,005,2,043100,9885
Bronx,2000,005,2,043400,3756
Bronx,2000,005,2,043500,0
