date,count
01/2006,26632
01/2007,27351
01/2008,29677
01/2009,27480
01/2010,28825
01/2011,26494
01/2012,29214
01/2013,29437
01/2014,30001
01/2015,26652
02/2006,22353
02/2007,23085
02/2008,25700
02/2009,25009
02/2010,23305
02/2011,25410
02/2012,27685
02/2013,26021
02/2014,26333
02/2015,24151
03/2006,26809
03/2007,27034
03/2008,28432
03/2009,28715
03/2010,29104
03/2011,29006
03/2012,30552
03/2013,28850
03/2014,31158
03/2015,29201
04/2006,26062
04/2007,27036
04/2008,28211
04/2009,27514
04/2010,29087
04/2011,28876
04/2012,29284
04/2013,29786
04/2014,30323
04/2015,31180
05/2006,28388
05/2007,30059
05/2008,29279
05/2009,29978
05/2010,30319
05/2011,30479
05/2012,31653
05/2013,31586
05/2014,33661
05/2015,33216
06/2006,28191
06/2007,29223
06/2008,29279
06/2009,29224
06/2010,30502
06/2011,30617
06/2012,30820
06/2013,30804
06/2014,32518
06/2015,32698
07/2006,28971
07/2007,30124
07/2008,30739
07/2009,30654
07/2010,30727
07/2011,31415
07/2012,32357
07/2013,33235
07/2014,34314
07/2015,34774
08/2006,28048
08/2007,30327
08/2008,31451
08/2009,31487
08/2010,30856
08/2011,30188
08/2012,33261
08/2013,33337
08/2014,34337
08/2015,35928
09/2006,28023
09/2007,29577
09/2008,30153
09/2009,29629
09/2010,30479
09/2011,28979
09/2012,30632
09/2013,32304
09/2014,33073
09/2015,33209
10/2006,29105
10/2007,30877
10/2008,30577
10/2009,30354
10/2010,31619
10/2011,29477
10/2012,30397
10/2013,33273
10/2014,33900
10/2015,32708
11/2006,27615
11/2007,27810
11/2008,27525
11/2009,28767
11/2010,28932
11/2011,29230
11/2012,26027
11/2013,30688
11/2014,29317
11/2015,31337
12/2006,27173
12/2007,27857
12/2008,27411
12/2009,26686
12/2010,25415
12/2011,28573
12/2012,28513
12/2013,30367
12/2014,27121
12/2015,31487
