key,count
AMTRACK,96
CONRAIL,11
DEPT OF CORRECTIONS,4627
DISTRICT ATTORNEY OFFICE,1
FIRE DEPT (FIRE MARSHAL),88
HEALTH & HOSP CORP,2111
LONG ISLAND RAILRD,254
METRO NORTH,331
N.Y. HOUSING POLICE,258232
N.Y. POLICE DEPT,3183523
N.Y. STATE PARKS,180
N.Y. STATE POLICE,980
N.Y. TRANSIT POLICE,66090
NEW YORK CITY SHERIFF OFFICE,86
NYC DEPT ENVIRONMENTAL PROTECTION,6
NYC PARKS,57
NYS DEPT TAX AND FINANCE,52
OTHER,7569
POLICE DEPT NYC,6306
PORT AUTHORITY,8681
SEA GATE POLICE DEPT,27
STATN IS RAPID TRANS,166
TRI-BORO BRDG TUNNL,2711
U.S. PARK POLICE,70
