Desc,Year,Number
DANGEROUS DRUGS,2006,10690
DANGEROUS DRUGS,2007,13093
DANGEROUS DRUGS,2008,13320
DANGEROUS DRUGS,2009,14632
DANGEROUS DRUGS,2010,15042
DANGEROUS DRUGS,2011,15685
DANGEROUS DRUGS,2012,14453
DANGEROUS DRUGS,2013,12325
DANGEROUS DRUGS,2014,12846
DANGEROUS DRUGS,2015,10695
DANGEROUS WEAPONS,2006,3343
DANGEROUS WEAPONS,2007,3961
DANGEROUS WEAPONS,2008,4585
DANGEROUS WEAPONS,2009,5491
DANGEROUS WEAPONS,2010,5814
DANGEROUS WEAPONS,2011,5729
DANGEROUS WEAPONS,2012,5069
DANGEROUS WEAPONS,2013,4978
DANGEROUS WEAPONS,2014,4688
DANGEROUS WEAPONS,2015,4580
