N.Y. POLICE DEPT,3183523
N.Y. HOUSING POLICE,258232
N.Y. TRANSIT POLICE,66090
PORT AUTHORITY,8681
OTHER,7569
POLICE DEPT NYC,6306
DEPT OF CORRECTIONS,4627
TRI-BORO BRDG TUNNL,2711
HEALTH & HOSP CORP,2111
N.Y. STATE POLICE,980
METRO NORTH,331
LONG ISLAND RAILRD,254
N.Y. STATE PARKS,180
STATN IS RAPID TRANS,166
AMTRACK,96
FIRE DEPT (FIRE MARSHAL),88
NEW YORK CITY SHERIFF OFFICE,86
U.S. PARK POLICE,70
NYC PARKS,57
NYS DEPT TAX AND FINANCE,52
SEA GATE POLICE DEPT,27
CONRAIL,11
NYC DEPT ENVIRONMENTAL PROTECTION,6
DISTRICT ATTORNEY OFFICE,1
