key,count
PETIT LARCENY MISDEMEANOR,616025
HARRASSMENT 2 VIOLATION,378619
ASSAULT 3 & RELATED OFFENSES MISDEMEANOR,354209
CRIMINAL MISCHIEF & RELATED OF MISDEMEANOR,330679
GRAND LARCENY FELONY,321773
OFF. AGNST PUB ORD SENSBLTY & MISDEMEANOR,188292
DANGEROUS DRUGS MISDEMEANOR,185416
BURGLARY FELONY,170623
ROBBERY FELONY,136197
FELONY ASSAULT FELONY,126996
GRAND LARCENY OF MOTOR VEHICLE FELONY,89563
MISCELLANEOUS PENAL LAW FELONY,78140
OFFENSES AGAINST PUBLIC ADMINI MISDEMEANOR,69570
CRIMINAL MISCHIEF & RELATED OF FELONY,56334
INTOXICATED & IMPAIRED DRIVING MISDEMEANOR,51255
DANGEROUS WEAPONS MISDEMEANOR,49441
CRIMINAL TRESPASS MISDEMEANOR,43877
DANGEROUS DRUGS FELONY,40469
DANGEROUS WEAPONS FELONY,34733
FORGERY FELONY,34570
VEHICLE AND TRAFFIC LAWS MISDEMEANOR,34452
THEFT-FRAUD FELONY,33297
FRAUDS MISDEMEANOR,20346
POSSESSION OF STOLEN PROPERTY MISDEMEANOR,14780
OFFENSES INVOLVING FRAUD MISDEMEANOR,11833
UNAUTHORIZED USE OF A VEHICLE MISDEMEANOR,9971
OFFENSES AGAINST THE PERSON MISDEMEANOR,8320
OTHER OFFENSES RELATED TO THEF MISDEMEANOR,7071
ADMINISTRATIVE CODE MISDEMEANOR,7061
POSSESSION OF STOLEN PROPERTY FELONY,6347
ARSON FELONY,6114
MISCELLANEOUS PENAL LAW VIOLATION,5646
OTHER STATE LAWS (NON PENAL LA MISDEMEANOR,3249
NYS LAWS-UNCLASSIFIED FELONY FELONY,2391
BURGLAR'S TOOLS MISDEMEANOR,1918
FRAUDULENT ACCOSTING MISDEMEANOR,1858
THEFT OF SERVICES MISDEMEANOR,1652
KIDNAPPING & RELATED OFFENSES FELONY,1597
GAMBLING MISDEMEANOR,1374
OFFENSES RELATED TO CHILDREN MISDEMEANOR,945
ADMINISTRATIVE CODE VIOLATION,942
PETIT LARCENY OF MOTOR VEHICLE MISDEMEANOR,756
DISORDERLY CONDUCT VIOLATION,586
OFFENSES AGAINST PUBLIC SAFETY MISDEMEANOR,556
PROSTITUTION & RELATED OFFENSES MISDEMEANOR,515
ALCOHOLIC BEVERAGE CONTROL LAW MISDEMEANOR,488
CHILD ABANDONMENT/NON SUPPORT FELONY,273
JOSTLING MISDEMEANOR,225
OTHER STATE LAWS VIOLATION,171
"LOITERING/GAMBLING (CARDS, DIC VIOLATION",138
ESCAPE 3 MISDEMEANOR,111
GAMBLING FELONY,83
ANTICIPATORY OFFENSES MISDEMEANOR,66
HOMICIDE-NEGLIGENT-VEHICLE FELONY,50
PROSTITUTION & RELATED OFFENSES FELONY,38
DISRUPTION OF A RELIGIOUS SERV MISDEMEANOR,36
UNLAWFUL POSS. WEAP. ON SCHOOL VIOLATION,35
NEW YORK CITY HEALTH CODE MISDEMEANOR,34
INTOXICATED/IMPAIRED DRIVING FELONY,34
NEW YORK CITY HEALTH CODE VIOLATION,23
"HOMICIDE-NEGLIGENT,UNCLASSIFIE FELONY",19
LOITERING FOR DRUG PURPOSES MISDEMEANOR,17
ADMINISTRATIVE CODES VIOLATION,15
LOITERING/DEVIATE SEX VIOLATION,13
LOITERING VIOLATION,10
FORTUNE TELLING MISDEMEANOR,8
OTHER TRAFFIC INFRACTION VIOLATION,4
ABORTION FELONY,3
UNDER THE INFLUENCE OF DRUGS VIOLATION,2
OFFENSES AGAINST MARRIAGE UNCL MISDEMEANOR,1
