key,count
2006,539024
2007,537201
2008,528675
2009,510946
2010,509725
2012,504128
2011,498198
2013,494958
2014,490363
2015,468575
2005,10767
2004,2095
2003,1535
2002,1039
2001,986
2000,902
1999,334
1998,216
1997,131
1996,120
1995,73
1994,63
1992,44
1993,42
1990,34
1991,27
1986,27
1966,26
1989,23
1985,18
1988,16
1967,13
1980,13
1987,12
1914,10
1968,10
1912,9
1913,9
1974,9
1979,9
1910,9
1960,8
1975,8
1977,8
1981,8
1911,7
1015,7
1915,7
1973,7
1982,7
1984,7
1920,6
1969,6
1970,6
1965,5
1972,5
1978,5
1900,5
1950,3
1955,3
1962,3
1971,3
1976,3
1983,3
1908,3
1909,3
1954,2
1959,2
1941,2
1942,2
1905,2
1945,2
1956,1
1958,1
1919,1
1961,1
1922,1
1964,1
1929,1
1930,1
1938,1
1940,1
1906,1
1946,1
1948,1
