key,count
75 BROOKLYN,101216
14 MANHATTAN,74823
120 STATEN ISLAND,74477
114 QUEENS,74392
67 BROOKLYN,71857
43 BRONX,70689
73 BROOKLYN,70414
46 BRONX,70174
115 QUEENS,66335
52 BRONX,66009
40 BRONX,65004
70 BROOKLYN,63673
104 QUEENS,62330
44 BRONX,59875
109 QUEENS,59462
103 QUEENS,57512
18 MANHATTAN,56324
79 BROOKLYN,55918
102 QUEENS,55521
110 QUEENS,53578
105 QUEENS,53484
48 BRONX,53433
71 BROOKLYN,53141
47 BRONX,52756
41 BRONX,52490
19 MANHATTAN,52400
61 BROOKLYN,52197
90 BROOKLYN,51911
77 BROOKLYN,51131
83 BROOKLYN,50517
122 STATEN ISLAND,50153
49 BRONX,50110
113 QUEENS,48858
1 MANHATTAN,48525
42 BRONX,48297
13 MANHATTAN,46752
81 BROOKLYN,45646
62 BROOKLYN,45286
45 BRONX,44003
106 QUEENS,43982
60 BROOKLYN,43894
25 MANHATTAN,43436
9 MANHATTAN,43138
66 BROOKLYN,42556
72 BROOKLYN,42516
108 QUEENS,41434
32 MANHATTAN,41363
63 BROOKLYN,41300
23 MANHATTAN,41003
107 QUEENS,40006
6 MANHATTAN,39789
24 MANHATTAN,39576
34 MANHATTAN,38601
50 BRONX,38367
84 BROOKLYN,37653
69 BROOKLYN,36980
68 BROOKLYN,35841
88 BROOKLYN,34637
5 MANHATTAN,33786
101 QUEENS,33734
30 MANHATTAN,32904
28 MANHATTAN,31560
20 MANHATTAN,31498
10 MANHATTAN,31474
7 MANHATTAN,31092
112 QUEENS,29571
94 BROOKLYN,28094
111 QUEENS,27397
78 BROOKLYN,27198
33 MANHATTAN,25786
123 STATEN ISLAND,24552
76 BROOKLYN,24267
17 MANHATTAN,23928
26 MANHATTAN,21944
100 QUEENS,21149
121 STATEN ISLAND,13642
22 MANHATTAN,1934
